Vietnamese, Bahnar
"Vì thế, CHÚA, Đức Chúa Trời đuổi A-đam ra khỏi vườn Ê-đen để canh tác đất đai vì loài người từ đó mà ra",Na Kră Yang 'Bok Kei-Dei puh tơlĕch kon bơngai đơ̆ng pơgar Êđen wă kơ choh jang sa teh mă đêl pơjing lu sư sơ̆
Ngài đuổi loài người ra và đặt các chê-ru-bim và một thanh gươm sáng lòa đưa qua đưa lại ở phía đông vườn Ê-đen để canh giữ con đường dẫn đến cây sự sống,"Thoi noh Sư pơpuh tơweh kon bơngai đơ̆ng pơgar Êđen; đơ̆ng noh tơ gah hơlĕch Sư ăn Yang chêrubim hăm đao dăr rang mơnhal, wă kơ bơwei trong năm tơ tơnơm 'long tơdrong arih"
"Sau một thời gian, Ca-in đem hoa lợi đồng ruộng dâng lên cho CHÚA","Đunh 'biơ̆ đơ̆ng noh, Kain yua phe 'ba sư pơm tơmam pơyơ̆r kơ Kră Yang"
CHÚA hỏi Ca-in: “Tại sao con giận,Kră Yang apinh Kain thoi âu: “Yua kơ kiơ ih blĕk
Tại sao con sầm mặt xuống,Yua kơ kiơ ih kŭp muh măt ih
"Nếu con làm phải, lẽ nào không được chấp nhận",Dah ih pơm 'lơ̆ng liơ ih ưh kơ pơ̆n ngơk muh măt
"Còn nếu con làm không phải thì tội ác đang rình rập trước cửa, thèm con lắm, nhưng con phải quản trị nó","Na mưh ưh kơ pơm 'lơ̆ng, to tơdrong yoch răp gô 'bơ̆t 'măng 'ngeng kơ ih dêh mă-lei ih 'nĕ kơ ăn jei sư"
"Ca-in nói chuyện với A-bên, em mình, khi hai anh em đang ở ngoài đồng, Ca-in tấn công và giết A-bên em mình","Đơ̆ng noh Kain pơtơm oh sưb Abel năm; kơplah măr sư oei tơ bri, na Kain plŏng bruh tơ Abel oh sư păng pơlôch hloi"
"CHÚA hỏi Ca-in: “A-bên, em ngươi ở đâu",Kră Yang jet Kain thoi âu: “Oh ih Abel tơ yơ
Con là người giữ em con sao,"“Inh ưh kơ băt, inh bơngai wei oh inh ah"
Chúa tiếp: “Ngươi đã làm chi vậy,Kră Yang jet dơ̆ng: “Ih pơm kiơ thoi noh
Tiếng của máu em ngươi từ dưới đất đang kêu van cùng Ta,Inh 'bôh pham oh ih ôr đơ̆ng teh păng nơ̆r sư krao kơtơ̆ng truh tơ Inh
"Bây giờ, ngươi bị rủa sả từ đất, đất đai đã hả miệng uống máu em ngươi từ tay ngươi đổ ra","Dang ei Kră Yang 'Bok Kei-Dei ăn teh hiap ih, teh ha 'bơ̆r huch boih pham oh ih đơ̆ng ti ih pơlôch"
"Ca-in thưa với Chúa: “Hình phạt con nặng quá, mang không nổi","Kain tơl Kră Yang thoi âu: “Tơdrong phak inh trăp dêh, pŭ ưh kơ kĕ"
"CHÚA đáp: “Không đâu, nếu ai giết Ca-in sẽ bị báo thù gấp bảy lần","Kră Yang khan thoi âu: “Ưh kơ trŏ ôh, dah bu pơlôch ih đe gô pơm 'mong plơ̆ kơ sư tơpơh wơ̆t"
"” CHÚA cũng đánh dấu trên người Ca-in để có ai gặp người, sẽ không giết","” Kră Yang đei ăn tơdra tơ akâu Kain, wă kơ mă bu tơ'bơ̆p Kain huay kơ pơlôch"
Ca-in đi khỏi mặt CHÚA và sống tại xứ Nốt ở phía đông Ê-đen,"Na Kain kơdŭn weh đơ̆ng Kră Yang păng oei tơ dêh Not, gah hơlĕch kơ pơgar Êđen"
"Ê-nót sinh I-rát, I-rát sinh Mê-hu-gia-ên; Mê-hu-gia-ên sinh Mê-lu-sa-ên; Mê-lu-sa-ên sinh Lê-méc","Đơ̆ng noh Ênok pơjing Irat, Irat pơjing Mêhujael, Mêhujael pơjing Methujael, Methujael pơjing Lêmek"
"Lê-méc cưới hai vợ, vợ cả tên A-đa, vợ thứ tên Xin-la","Lêmek đei akăn 'bar, minh 'nu anăn Adah, minh 'nu anăn Yilah"
"A-đa sinh Gia-banh; Gia-banh là ông tổ của dân ở lều trại, nuôi gia súc","Adah pơjing Jabal, Jabal pơjing 'bok kơ lu kon pơlei oei lơ anih đe rong sem dơrong"
"Em Gia-banh là Giu-banh, ông tổ của mọi người chơi đàn hạc và thổi sáo","Oh sư Jubal, 'bok kơ khŭl kon pơlei reh brŏ păng hlôm 'lal"
"A-đam lại ăn ở với vợ, nàng sinh một trai, đặt tên là Sết vì nàng nói: “Đức Chúa Trời đã ban cho tôi một con trai khác thay cho A-bên đã bị Ca-in giết","Ađam oei hơdai akăn sư dơ̆ng; sư đei tơpŭ dơ̆ng kơ minh 'nu kon drŏ-nglo sư anăn Set; akăn sư khan, “Kră Yang 'Bok Kei-Dei đei ăn dơ̆ng kơ inh tơpŭ kơ minh 'nu kon drŏ-ngloc nai wă tơplih kơ Abel mă Kain pơlôch boih"
"Ngài sáng tạo nên người nam và người nữ, ban phước cho họ và gọi họ là “người” khi Ngài sáng tạo nên họ","Sư pơjing bơngai drŏ-nglo păng bơngai drŏ-kăn, ăn tơdrong pŭn hiôk kơ bre sư păng năr Sư pơjing ei Sư anăn bre sư bơngai"
A-đam được một trăm ba mươi tuổi sinh một con trai giống như hình dạng mình và đặt tên là Sết,"Kơplah Ađam đei minh-hrĕng pêng-jĭt sơnăm, sư pơjing minh 'nu kon drŏ-nglo hơbŏ thoi sư, sư anăn Set"
"Sau khi sinh Sết, A-đam còn sống được tám trăm năm, sinh con trai con gái","Đơ̆ng rŏng kơ Ađam đei pơjing Set boih, sư oei arih tơhngam-hrĕng sơnăm, kư̆m oei đei pơjing kon drŏ-nglo kon drŏ-kăn"
"A-đam sống tất cả được chín trăm ba chục năm, rồi qua đời","Thoi noh Ađam arih đei tơsĭn-hrĕng pêng-jĭt sơnăm, na lôch"
Sết được một trăm lẻ năm tuổi sinh Ê-nót,"Set đei minh-hrĕng pơđăm sơnăm, pơjing Ênos"
"Sau khi sinh Ê-nót, Sết còn sống được tám trăm lẻ bảy năm, sinh con trai con gái","Đơ̆ng rŏng kơ Set pơjing Ênos boih sư arih tơhngam-hrĕng tơpơh sơnăm, pơjing kon drŏ-nglo kon drŏ-kăn"
"Sết sống tất cả chín trăm mười hai năm, rồi qua đời",Thoi noh Set arih đei tơsĭn-hrĕng mơjĭt-'bar sơnăm na sư lôch
Ê-nót được chín mươi tuổi sinh Kê-nan,"Ênos đei tơsĭn-jĭt sơnăm, pơjing Kênan"
"Sau khi sinh Kê-nan, Ê-nót còn sống được tám trăm mười lăm năm, sinh con trai con gái","Đơ̆ng rŏng kơ Ênos pơjing Kênan boih, sư oei arih tơhngam-hrĕng mơjĭt-pơđăm sơnăm, pơjing kon drŏ-nglo kon drŏ-kăn"
"Ê-nót sống tất cả được chín trăm lẻ năm năm, rồi qua đời",Thoi noh Ênos arih đei tơsĭn-hrĕng pơđăm sơnăm na sư lôch
Kê-nan được bảy mươi tuổi sinh Ma-ha-la-ên,"Kênan đei tơpơh-jĭt sơnăm, pơjing Mahalale"
Sau khi sinh Ma-ha-la-ên,"Đơ̆ng rŏng kơ Kênan pơjing Mahalale boih, sư oei arih tơhngam-hrĕng puăn-jĭt sơnăm pơjing kon drŏ-nglo kon drŏ-kăn"
"Kê-nan còn sống tất cả được chín trăm mười năm, rồi qua đời","Thoi noh Kênan arih đei tơsĭn-hrĕng mơjĭt sơnăm, na sư lôch"
"Ma-ha-la-ên được sáu mươi lăm tuổi, sinh Giê-rệt","Mahalale đei tơdrâu-jĭt pơđăm sơnăm, pơjing Jaret"
"Sau khi sinh Giê-rệt, Ma-ha-la-ên còn sống được tám trăm ba mươi năm, sinh con trai con gái","Đơ̆ng rŏng kơ Mahalale pơjing Jaret, sư oei arih tơhngam-hrĕng pêng-jĭt sơnăm, pơjing kon drŏ-nglo kon drŏ-kăn"
"Ma-ha-la-ên sống tất cả được tám trăm chín mươi lăm năm, rồi qua đời","Thoi noh Mahalale arih đei tơhngam-hrĕng tơsĭn-jĭt pơđăm sơnăm, na sư lôch"
Giê-rệt được một trăm sáu mươi hai tuổi sinh Ê-nót,"Jaret đei minh-hrĕng tơdrâu-jĭt 'bar sơnăm, pơjing Ênok"
"Sau khi sinh Ê-nót, Giê-rệt còn sống được tám trăm năm, sinh con trai con gái","Đơ̆ng rŏng kơ Jaret pơjing kơ Ênok boih sư oei arih tơhngam-hrĕng sơnăm, pơjing kon drŏ-nglo kon drŏ-kăn"
Vậy Giê-rệt sống tất cả được chín trăm sáu mươi hai tuổi rồi qua đời,"Thoi noh Jaret arih đei tơsĭn-hrĕng tơdrâu-jĭt 'bar sơnăm, na sư lôch"
Ê-nót được sáu mươi lăm tuổi sinh Mê-tu-sê-la,"Ênok đei tơdrâu-jĭt pơđăm sơnăm, pơjing Mêtusêla"
"Sau khi sinh Mê-tu-sê-la, Ê-nót đồng đi với Đức Chúa Trời ba trăm năm, sinh con trai con gái","Đơ̆ng rŏng kơ Ênok pơjing kơ Mêtusêla boih, đơ̆ng noh sư mơ̆ng kiơ̆ Kră Yang 'Bok Kei-Dei lăm pêng-hrĕng sơnăm, sư pơjing kon drŏ-nglo kon drŏ-kăn"
Ê-nót sống tất cả được ba trăm sáu mươi lăm tuổi,Thoi noh Ênok đei arih pêng-hrĕng tơdrâu-jĭt pơđăm sơnăm
Ê-nót đồng đi với Đức Chúa Trời rồi biệt tăm vì Đức Chúa Trời đã đem ông đi,"Ênok kiơ̆ Kră Yang 'Bok Kei-Dei, na biŏng pă 'bôh hloi, yua kơ Kră Yang 'Bok Kei-Dei sơng iŏk sư boih"
Mê-tu-sê-la được một trăm tám mươi bảy tuổi sinh Lê-méc,Mêtusêla đei minh-hrĕng tơhngam-jĭt tơpơh sơnăm pơjing Lêmek
"Sau khi sinh Lê-méc, Mê-tu-sê-la còn sống được bảy trăm tám mươi hai năm, sinh con trai con gái","Đơ̆ng rŏng kơ Mêtusêla pơjing Lêmek boih, sư oei arih tơpơh-hrĕng tơhngam-jĭt 'bar sơnăm pơjing kon drŏ-nglo kon drŏ-kăn"
Mê-tu-sê-la sống tất cả được chín trăm sáu mươi chín tuổi rồi qua đời,"Thoi noh Mêtusêla arih đei tơsĭn-hrĕng tơdrâu-jĭt tơsĭn sơnăm, na sư lôch"
Lê-méc được một trăm tám mươi hai tuổi sinh một con trai,"Lêmek đei minh-hrĕng tơhngam-jĭt 'bar sơnăm, pơjing minh 'nu kon drŏ-nglo"
đặt tên là Nô-ê và nói: “Đứa con này sẽ an ủi ta về công việc ta và sự nhọc nhằn của bàn tay ta vì đất đã bị CHÚA rủa sả,Sư anăn Nôê păng khan thoi âu: “Sư âu boih wă pơlung jơhngơ̆m lu bơ̆n đơ̆ng tơdrong jang mă gleh lap yua kơ Kră Yang hiap pơtê̆ boih teh âu
"Sau khi sinh Nô-ê; Lê-méc còn sống được năm trăm chín mươi lăm năm, sinh con trai con gái","Đơ̆ng rŏng kơ Lêmek pơjing Nôê boih, sư oei arih pơđăm-hrĕng tơsĭn-jĭt pơđăm sơnăm, sư pơjing kon drŏ-nglo kon drŏ-kăn"
"Vậy, Lê-méc sống tất cả được bảy trăm bảy mươi bảy tuổi rồi qua đời","Thoi noh Lêmek arih đei tơpơh-hrĕng tơpơh-jĭt tơpơh sơnăm, na sư lôch"
"Nô-ê được năm trăm tuổi sinh Sem, Cham và Gia-phết","Gah Nôê, dĭng truh sư pơđăm-hrĕng sơnăm, sư pơjing pêng 'nu kon drŏ-nglo, Sem, Cham păng Japhet"
Khi loài người bắt đầu gia tăng trên mặt đất và sinh con gái,Đơ̆ng kon bơngai đĭ rai lơ năm jơ̆p-jang kơpal teh păng kon bơngai đei pơjing lu kon drŏ-kăn boih
Các con trai Đức Chúa Trời thấy các con gái loài người xinh đẹp bèn cưới làm vợ những người họ chọn,"Lu kon tơdăm yang 'bôh kon adruh kon bơngai 'lơ̆ng hơbŏ na iŏk oei, adruh ayơ mă sư lăp đon"
CHÚA phán: “Thần Ta sẽ chẳng ở mãi với loài người nữa vì chúng chỉ là xác thịt; đời người sẽ chỉ được một trăm hai mươi năm,"Kră Yang khan thoi âu: “Yang Bơhngol Inh ưh kơ oei lăm kon bơngai ling-lang ôh; yua kơ kon bơngai jơ̆ sĕch akar đĕch, chăl arih lu sư lăp minh-hrĕng 'bar-jĭt sơnăm đĕch"
"CHÚA thấy tội ác của loài người trên đất thật lớn lao, mọi khuynh hướng, tư tưởng của lòng họ lúc nào cũng xấu xa",Kră Yang 'bôh kon bơngai kơpal teh âu pơm kơnê̆ dêh păng jơhngơ̆m lu sư tơchĕng kơnê̆ ling-lang
"CHÚA hối tiếc vì đã dựng nên loài người trên đất, và đau buồn trong lòng",Na Sư hmach kơdih Sư kơ tơdrong pơjing boih kon bơngai kơpal teh păng Sư sơ'ngon lăm jơhngơ̆m
"CHÚA phán: “Ta sẽ quét sạch khỏi mặt đất mọi loài Ta đã tạo nên, cả loài người lẫn thú vật, loài bò sát và chim trời, vì Ta hối tiếc đã dựng nên chúng","Kră Yang khan thoi âu: “Inh gô pơrăm lê̆ đĭ kon bơngai kơpal teh mă đêl Inh pơjing, đơ̆ng kon bơngai truh tơ lu kon sem brem, lu hơdrông kơep lep-ler, lu sem păr, yua kơ inh hmach kơdih akâu đei pơjing boih lu sư noh"
Nhưng Nô-ê được ơn trước mặt CHÚA,Mă-lei Nôê đei pŭn 'bơ̆t anăp Kră Yang
"Nô-ê sinh ba con trai là Sem, Cham và Gia-phết","Nôê đei pêng 'nu kon drŏ-nglo, Sem, Cham, Japhet"
Thế gian bại hoại dưới mắt Đức Chúa Trời và đất đầy dẫy hung bạo,Hơtai ei sơ̆ Kră Yang 'Bok Kei-Dei 'bôh đĭ kon bơngai lăm teh đak tă kơ yoch răm ngăl păng 'bĕnh kơ tơdrong kơnê̆
"Đức Chúa Trời nhìn xem thế gian, thấy nó bại hoại, vì mọi người trên mặt đất đều làm bại hoại đường lối mình","Âu, Kră Yang 'Bok Kei-Dei lăng lăm teh đak, 'bôh tơdrong yoch răm, yua kơ đĭ-đăng kon bơngai pơm ăn kơ trong sư kơdih kơpal teh âu răm đĭ"
"Đức Chúa Trời bảo Nô-ê: “Sự cuối cùng của mọi người đã đến, vì chúng làm cho quả đất đầy dẫy sự hung bạo","Kră Yang 'Bok Kei-Dei khan kơ Nôê thoi âu: “Inh gô pơrăm đĭ kon bơngai, yua kơ đơ̆ng kon bơngai na teh âu 'bĕnh kơ tơdrong kơnê̆"
"Này, Ta sẽ hủy diệt chúng luôn với cả trái đất nữa",Thoi noh inh gô pơrăm lu sư hơdai hăm teh
"Con hãy đóng một chiếc tàu bằng gỗ gô-phe, chia làm nhiều phòng, trát nhựa cả trong lẫn ngoài","Ih athei pơm minh pôm duk păng 'long gôphea, pơm đei lơ tăl, na pik chai tơ đaih păng tơ lăm"
"Nhưng Ta sẽ lập giao ước Ta với con; con sẽ vào tàu cùng với các con trai, vợ và các nàng dâu của con","“Na inh gô đei nơ̆r pơkă pơgơ̆p pơkăm hăm ih, đơ̆ng noh ih hăm akăn ih, lu kon hăm lu mŏ mai ih, athei mơ̆t tơ lăm duk"
"Con sẽ đem vào tàu mọi loài sinh vật, mỗi loài một cặp, có đực có cái, để giữ cho chúng sống","Gah lu kon sem dui jơhngơ̆m, ih athei tơmơ̆t ba lăm duk minh hơgrop, đei tơno akăn, tơmông păng yŏng, wă kơ ih wei rong lu sư arih"
"Chim tùy theo loại, súc vật tùy theo loại, loài bò sát trên đất tùy theo loại, mỗi loài hai con sẽ đến với con để bảo toàn mạng sống","Sem păr kiơ̆ kơ khŭl, sem dơrong kiơ̆ kơ khŭl, hơdrông kơep mơmŏ kơpal teh, rim khŭl minh hơgrop wă kơ ih wei sư arih"
Con hãy đem theo đủ mọi thứ lương thực để ăn và để tích trữ cho con và cho chúng nó,"Na ih kư̆m athei chĕp ba tơmam sa, wă pơm tơmam sa, por sŏng kơ iĕm, ih păng lu kon sem brem noh"
Như vậy Nô-ê làm theo mọi điều Đức Chúa Trời đã truyền bảo,Nôê pơm tôm tơdrong âu trŏ 'blep thoi Kră Yang 'Bok Kei-Dei đei pơkă
CHÚA bảo Nô-ê: “Con và cả gia đình con hãy vào tàu vì Ta thấy con công chính trước mặt Ta giữa thế hệ này,"Kră Yang khan kơ Nôê thoi âu: “Ih păng đĭ-đăng hnam dơnŏ ih mơ̆t bĕ lăm duk, yua kơ lăm lu bơngai chăl dang ei Inh 'bôh ih jơ̆ minh 'nu bơngai tơpăt"
"Trong các thú vật tinh sạch, hãy đem theo mỗi loại bảy con, đực và cái, còn các thú vật không tinh sạch mỗi loài một cặp, đực và cái","Lăm lu kon sem brem 'lơ̆ng rơgoh, ih athei anhăk ba minh adrĕch tơpơh hơgrop, tơno păng akăn; gah lu sem brem mă ưh kơ 'lơ̆ng rơgoh minh adrĕch minh hơgrop, wă kơ pơm adrĕch jơ̆p kơpal teh đak"
"Con cũng hãy đem theo các chim trời, mỗi loài bảy con, trống và mái, để giữ cho sống trên khắp mặt đất","Ih kư̆m athei anhăk ba lu sem păr, rim khŭl tơpơh hơgrop tơmông păng yŏng, wă kơ ih wei sư arih chek lar jơ̆p kơpal teh"
"Vì bảy ngày nữa, Ta sẽ cho mưa xuống đất bốn mươi ngày và bốn mươi đêm, và Ta sẽ quét sạch khỏi mặt đất mọi loài sinh vật Ta đã dựng nên","Yua kơ pă tơpơh năr dơ̆ng, inh gô ăn 'mi jruh tơ teh, lăm puăn-jĭt năr puăn-jĭt măng; Inh gô pơrăm lê̆ đĭ kơpal teh mă dôm kon sem brem mă đĭ adrĕch đơ̆ng inh đei pơjing"
Nô-ê làm theo mọi điều CHÚA đã truyền bảo,Na Nôê pơm kiơ̆ tôm dôm lu nơ̆r đơ̆ng Kră Yang đei pơkă kơ sư
Nô-ê được sáu trăm tuổi khi nước lụt đến trên đất,"Kơplah đak lơ̆p, lah lai jơ̆p kơpal teh, Nôê đei tơdrâu-hrĕng sơnăm boih"
"Nô-ê vào tàu cùng vợ, các con trai, và các dâu mình để tránh nước lụt","Nôê hăm akăn sư mơ̆t lăm duk, hơdai lu kon lu mŏ mai sư wă kơ klaih đơ̆ng đak lơ̆p"
"Các loài vật tinh sạch, loài vật không tinh sạch, loài chim","Dôm lu kon sem brem mă 'lơ̆ng rơgoh păng lu kon sem brem mă ưh kơ 'lơ̆ng rơgoh, lu sem păr, lu kon hơdrông kơep lep-ler kơpal teh"
"và mọi loài bò sát trên mặt đất từng cặp, đực và cái, trống và mái, đều đến với Nô-ê và vào tàu, đúng như Đức Chúa Trời đã truyền bảo Nô-ê","minh hơgrop tơno păng akăn, tơmông păng yŏng, năm đĭ tơ Nôê păng mơ̆t lăm duk 'blep trŏ thoi nơ̆r Kră Yang 'Bok Kei-Dei bơtho pơkă kơ sư"
"Đúng bảy ngày sau, nước lụt đến trên đất","Đơ̆ng rŏng kơ tơpơh năr, đak pơtơm jur jơ̆p kơpal teh"
"Trong năm thứ sáu trăm đời Nô-ê, đúng ngày mười bảy tháng hai, vào ngày đó tất cả các nguồn nước của vực lớn đều dâng lên và các cửa sổ trên các tầng trời đều mở tung","Kơplah noh Nôê tơdrâu-hrĕng sơnăm, khei 'bar năr mơjĭt-tơpơh, trŏ kơ năr noh, dôm lu tu đak đôh pơchah đak bluh đơ̆ng teh, đơ̆ng kơpal plĕnh kư̆m pơih tơjur đak"
Mưa đổ xuống đất suốt bốn mươi ngày bốn mươi đêm,"'Mi jruh tơ teh lăm puăn-jĭt năr, puăn-jĭt măng"
"mọi thứ súc vật tùy theo loại, mọi loài bò sát trên đất tùy theo loại, mọi thứ chim tùy theo loại và mọi loài có cánh","Lu sư mơ̆t hơdai păng đĭ-đăng lu sem brem, lu sem dơrong kiơ̆ kơ adrĕch, lu kon hơdrông kơpal teh kư̆m kiơ̆ kơ adrĕch, sem păr kư̆m kiơ̆ kơ adrĕch păng đĭ-đăng lu sem kiơ mă đei pơnăr"
"Chúng đến với Nô-ê và vào tàu từng cặp, mọi loài có sinh khí","Hơgrop, hơgrop kiơ̆ Nôê mơ̆t lăm duk; wă khan đĭ-đăng dôm lu đei sĕch akar mă dui jơhngơ̆m"
"Nước lụt đến trên mặt đất bốn mươi ngày, nước dâng cao, nâng chiếc tàu lên khỏi mặt đất","Đak lơ̆p kơpal teh puăn-jĭt năr puăn-jĭt măng, đak tŏk kơjung tưk duk kư̆m rai kơjung đơ̆ng teh dơ̆ng kơpal đak"
Nước dâng lên rất cao trên đất và chiếc tàu nổi trên mặt nước,"Kơpal teh, đak tih păng rai tŏk kơjung dêh, duk đông kơpal đak"
"Nước dâng cao lên, rất cao trên đất đến nỗi ngập hết tất cả các ngọn núi cao dưới bầu trời","Đak tŏk rai dêh kơpal teh, đĭ-đăng lu kông kơjung kư̆m lơ̆p đĭ"
Nước dâng lên cao phủ ngập các núi đến bảy mét,Đak tŏk truh tơ mơjĭt-pơđăm hlok kơjung hloh kơ đĭ-đăng lu kơ̆l kông kơjung
"Tất cả các loài sinh vật trên mặt đất đều bị diệt, nào chim trời, dã thú, súc vật, loài bò sát trên đất và mọi người","Đĭ-đăng dôm lu adrĕch sĕch akar arih kơpal teh lôch glơ̆k, mă lu sem păr, mă lu kon sem dơrong, kon sem bri, mă kon hơdrông kơep lep-ler păng đĭ kon bơngai"
Tất cả các loài có sinh khí trong mũi và sống trên đất đều bị chết,Mă dui jơhngơ̆m trong muh lôch đĭ
Nước lụt bao phủ mặt đất suốt một trăm năm mươi ngày,Đak oei lơ̆p kơpal teh 'blep minh-hrĕng pơđăm-jĭt năr
"Các nguồn nước của vực sâu, các cửa sổ trên trời đóng lại, và mưa từ trời ngưng đổ trên đất",Lu tu đak jrŭ păng lu bơnơ̆ tơ plĕnh tơlir dơ̆ng; 'mi đơ̆ng plĕnh ưh kơ jur tơ teh boih
Nước cứ rút cho đến tháng thứ mười; ngày mồng một tháng mười các đỉnh núi mới lộ ra,Đak hrơ̆b noh 'net truh tơ khei mơjĭt; năr mă mônh lăm khei noh; dôm lu kơ̆l kông gơh 'bôh bang
"Sau bốn mươi ngày, Nô-ê mở cửa sổ mình đã làm trên tàu","Đơ̆ng rŏng kơ noh đei puăn-jĭt năr, Nôê pơih 'măng-'mŏk duk mă sư đei pơm"
"ông thả một con quạ ra, nó bay đi lượn lại cho đến khi nước cạn khô trên mặt đất","Sư achăng minh pôm ak, ak păr gơling jur tŏk dĭng truh tơ đak hrơ̆ đĭ kơpal teh"
Ông cũng thả một con bồ câu để xem nước rút khỏi mặt đất chưa,"Sư kư̆m achăng minh pôm sem kơtơp dơ̆ng, wă kơ băt đak tam hrơ̆ tơ teh"
"Nhưng bồ câu không tìm được chỗ nào đáp chân xuống, nên quay về với ông trên tàu, vì nước vẫn còn trên khắp mặt đất","Mă-lei sem kơtơp păr chă lăng ưh tam đei teh hrĕng wă jruh, na sư păr brŏk tơ duk dơ̆ng, yua kơ đak oei jơ̆p-jang kơ teh"
Ông đưa tay đón bồ câu đem vào trong tàu với mình,Nôê jrơng ti sư sơng iŏk sem kơtơp rôp tơmơ̆t lăm duk hơdai hăm sư
Ông đợi thêm bảy ngày rồi lại thả bồ câu ra khỏi tàu,"Đơ̆ng noh sư gô tơpơh năr dơ̆ng, sư achăng sem kơtơp lĕch đơ̆ng duk"
"Đến chiều, bồ câu quay về, mỏ ngậm một chiếc lá ô-liu mới hái; Nô-ê biết rằng nước đã rút khỏi mặt đất",Truh kơsơ̆ sem kơtơp păr brŏk tơ sư dơ̆ng păng âu tơ'bong sư jơngong ba hla 'long ôliwơ adrih; Nôê băt hloi đak hrơ̆ boih kơpal teh
"Đợi bảy ngày nữa, ông lại thả bồ câu ra, nhưng lần này bồ câu không quay về với ông nữa","Sư gô tơpơh năr đơ̆ng rŏng dơ̆ng achăng dơ̆ng sem kơtơp lĕch, mă-lei sem kơtơp ưh pă brŏk tơ sư dơ̆ng"
"Ngày mồng một tháng giêng năm thứ 601 đời Nô-ê, nước trên đất đã cạn khô, Nô-ê giở mui tàu nhìn xuống và thấy mặt đất đã khô nước","Trŏ sơnăm Nôê tơdrâu-hrĕng minh, năr mă mônh khei mônh, Nôê pơih bơbŭng duk lăng 'bôh teh hrĕng kro boih"
"Ngày hai mươi bảy tháng hai, đất đã khô hoàn toàn","Truh khei 'bar, năr 'bar-jĭt tơpơh, teh hrĕng boih"
Đức Chúa Trời phán bảo Nô-ê,Kră Yang 'Bok Kei-Dei khan kơ Nôê thoi âu
"“Con hãy ra khỏi tàu cùng với vợ, các con trai và các dâu con","“Lĕch bĕ iĕm đơ̆ng duk, akăn ih, kon ih hăm lu mŏ mai ih"
"Hãy đem ra với con các sinh vật đã ở cùng con, các loài thú vật, chim chóc, súc vật và mọi loài bò sát trên đất để chúng sinh sôi nẩy nở và gia tăng trên đất","Athei pơih đĭ lu kon sem arih gah sĕch akar mă oei hơdai ih, lu sem păr, lu sem dơrong, sem brem, lu hơdrông kơep lep-ler mơmŏ kơpal teh, wă kơ lu sư chek lar char kon 'bĕnh kơ teh"
"Vậy Nô-ê ra khỏi tàu, với vợ, con và dâu mình","Thoi noh Nôê hăm akăn sư, lu kon sư, lu mŏ mai sư lĕch đơ̆ng duk"
"mọi loài dã thú, bò sát, chim chóc và mọi loài bò trên đất, đều ra khỏi tàu, loài nào đi theo loài nấy","Lu sem brem, lu sem păr păng đĭ-đăng lu sem brem arih kơpal teh kiơ̆ kơ adrĕch lĕch đĭ-đăng đơ̆ng duk"
CHÚA ngửi mùi thơm tế lễ thì tự nhủ trong lòng: “Ta sẽ chẳng bao giờ vì loài người mà rủa sả địa cầu nữa; cho dù xu hướng của loài người là xấu xa từ lúc còn nhỏ,"Kră Yang 'bâu phu păng tơchĕng khan: “Inh ưh pă hiap teh yua kơ kon bơngai dơ̆ng, yua kơ jơhngơ̆m kon bơngai yoch kơnê̆ tơpă đơ̆ng sơ̆, đơ̆ng oei 'lơ̆p"
Ta cũng sẽ chẳng hủy diệt các loài sinh vật như Ta đã làm,c Inh kư̆m ưh kơ wă pơrăm lu kon sem arih thoi Inh đei pơm
"Một khi quả đất còn,","Kơplah teh oei đei,"
"Thì mùa gieo và mùa gặt,","na bơyan rei jơmŭl păng bơyan kĕch,"
"Thời tiết lạnh và nóng,","tơngiĕt păng tŏ,"
"Mùa hạ và mùa đông,","bơyan hngach păng bơyan phang,"
Ngày và đêm,'năr păng kơmăng
Sẽ chẳng bao giờ chấm dứt,ưh kơ đei layơ hiong đĭ
"Tất cả các loài thú vật trên mặt đất, các loài chim trên trời, các loài sống động trên đất và các loài cá dưới biển đều sẽ kinh hãi, khiếp sợ các con; chúng đều được giao phó vào tay các con","Lu sem dơrong kơpal teh, lu sem păr kơpal plĕnh păng lu sem brem adrŏ kơpal teh, lu ka lăm đak dơsĭ, đĭ-đăng gô hli păng chu yom kơ iĕm yua kơ Inh jao boih lăm ti lu iĕm"
"Nhưng thịt còn mạng sống, còn máu thì các con đừng ăn","Mă-lei lu iĕm 'nĕ kơ sa 'nhĕm lu kon sem mă đei bơhngol arih, wă khan oei đei pham"
"Chắc chắn Ta sẽ đòi lại máu của sinh mạng các con, Ta sẽ đòi lại nơi mọi loài thú, nơi tay loài người và Ta sẽ đòi lại nơi tay mỗi người mạng sống của đồng loại nó","Sĭt tơpă, tơdah kon bơngai dah sem brem pơlôch iĕm, inh ưh kơ ăn kơ sư oei arih ôh"
Vậy các con hãy sinh sản và gia tăng nhiều gấp bội trên đất,Gah lu iĕm athei pơjing adrĕch adrung rai lơ 'bĕnh-'bang jơ̆p-jang kơpal teh đak
Đức Chúa Trời nói với Nô-ê và các con trai đang ở với ông,Kră Yang 'Bok Kei-Dei kư̆m đei khan kơ Nôê hăm lu kon drŏ-nglo sư thoi âu
